Time,Price,%,SD
06/03 09:26,"1,472.93",-0.26,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
203,270,240,250,1530,4620,4550,4770,5510
Time,Price,%,SD
06/03 11:31,"1,485.91",0.62,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
4768,5290,5130,5240,1440,610,580,800,944
3821,4460,4340,4390,1450,760,730,890,1153
3100,3650,3480,3550,1460,960,930,1100,1408
2433,2890,2750,2850,1470,1210,1180,1410,1733
1837,2220,2100,2160,1480,1530,1480,1800,2116
1320,1670,1510,1570,1490,1930,1880,2140,2589
910,1150,1030,1080,1500,2440,2390,2670,3179
579,780,670,700,1510,3050,3000,3300,3843
350,500,410,420,1520,3790,3730,4040,4661
203,270,240,250,1530,4620,4550,4770,5510
Time,Price,%,SD
06/03 11:33,"1,485.91",0.62,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
4768,5290,5130,5240,1440,610,580,800,944
3821,4460,4340,4390,1450,760,730,890,1153
3100,3650,3480,3640,1460,970,930,1100,1408
2433,2890,2750,2850,1470,1220,1180,1410,1733
1837,2220,2100,2160,1480,1550,1480,1800,2116
1320,1670,1510,1570,1490,1930,1880,2140,2589
910,1150,1030,1080,1500,2440,2390,2670,3179
579,780,670,700,1510,3050,3000,3300,3843
350,500,410,430,1520,3820,3730,4040,4661
203,270,240,250,1530,4630,4550,4770,5510
Time,Price,%,SD
06/03 11:35,"1,486.18",0.64,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
4768,5290,5130,5240,1440,610,580,800,944
3821,4460,4340,4390,1450,760,730,890,1153
3100,3650,3480,3640,1460,970,930,1100,1408
2433,2890,2750,2850,1470,1220,1180,1410,1733
1837,2220,2100,2160,1480,1550,1480,1800,2116
1320,1670,1510,1570,1490,1930,1880,2140,2589
910,1150,1030,1080,1500,2440,2390,2670,3179
579,780,670,700,1510,3050,3000,3300,3843
350,500,410,430,1520,3820,3730,4040,4661
203,270,240,250,1530,4630,4550,4770,5510
Time,Price,%,SD
06/03 11:37,"1,486.18",0.64,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
4768,5290,5130,5240,1440,610,580,800,944
3821,4460,4340,4390,1450,760,730,890,1153
3100,3650,3480,3640,1460,970,930,1100,1408
2433,2890,2750,2850,1470,1220,1180,1410,1733
1837,2220,2100,2160,1480,1550,1480,1800,2116
1320,1670,1510,1570,1490,1930,1880,2140,2589
910,1150,1030,1080,1500,2440,2390,2670,3179
579,780,670,700,1510,3050,3000,3300,3843
350,500,410,430,1520,3820,3730,4040,4661
203,270,240,250,1530,4630,4550,4770,5510
Time,Price,%,SD
06/03 11:39,"1,486.18",0.64,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
4768,5290,5130,5240,1440,610,580,800,944
3821,4460,4340,4400,1450,760,730,890,1153
3100,3650,3480,3640,1460,970,930,1100,1408
2433,2890,2750,2850,1470,1220,1180,1410,1733
1837,2220,2100,2160,1480,1550,1480,1800,2116
1320,1670,1510,1570,1490,1940,1880,2140,2589
910,1150,1030,1080,1500,2450,2390,2670,3179
579,780,670,700,1510,3050,3000,3300,3843
350,500,410,420,1520,3820,3730,4040,4661
203,270,240,250,1530,4630,4550,4770,5510
Time,Price,%,SD
06/03 11:41,"1,486.08",0.63,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
4768,5290,5130,5240,1440,610,580,800,944
3821,4460,4340,4400,1450,760,730,890,1153
3100,3650,3480,3640,1460,970,930,1100,1408
2433,2890,2750,2850,1470,1220,1180,1410,1733
1837,2220,2100,2160,1480,1550,1480,1800,2116
1320,1670,1510,1570,1490,1940,1880,2140,2589
